mp_id k_lattice
mp-20832 6.199769
mp-1001017 4.532773
mp-22607 7.116895
mp-674328 6.342851
mp-616900 10.773336
mp-560262 9.035990
mp-22253 10.880822
mp-541937 13.815975
mp-22052 6.973306
mp-23360 3.118307
mp-625857 11.759888
mp-697146 13.439194
mp-625830 9.059148
mp-625826 8.417905
mp-625488 30.233844
mp-625487 38206239.094280
mp-625272 15.270485
mp-625230 9.416371
mp-15777 4.976134
mp-5350 12.485150
mp-1094021 5.937808
mp-1094008 20.487192
mp-1078049 7306950773.348000
mp-752451 16.654316
mp-5794 30.674507
mp-1047601 12.051071
mp-1047156 32689532757.931637
mp-1400406 12.736554
mp-559437 10.866997
mp-1045326 11.680676
mp-1042270 4.302701
mp-604315 30.164884
mp-1191586 112330344.625396
mp-17512 2.691952
mp-29509 44067550.095187
mp-754444 4.215115
mp-1047016 7.182235
mp-1104888 1.796337
mp-1207497 6.280447
mp-1779 217160284.176905
mp-1079587 2.112564
mp-570418 2.917600
mp-1105386 19.130648
mp-634751 59007578.012420
mp-1100 10.099835
mp-3216222 3.500844
mp-3216857 3.276433
mp-2760250 4905084.354213
mp-864675 4.376742
mp-3216237 2.200881
mp-1207731 1.654803
mp-1694 2.309849
mp-9582 18.525424
mp-1215857 6.688977
mp-1215853 5.498551
mp-1068042 3.634389
mp-1215860 3.853311
mp-1215856 3.860459
mp-1215863 85515.215073
mp-766243 9.440919
mp-1207624 21.725997
mp-1215803 15.521424
mp-12509 21.363040
mp-1215705 23.495322
mp-1215694 13.749867
mp-546011 105.994574
mp-989645 8.954210
mp-989617 12.262598
mp-989615 6.554631
mp-989407 4.950563
mp-1207601 7.136722
mp-1192505 3.204254
mp-19133 36.833810
mp-1215728 12.244456
mp-1194912 1.215389
mp-1190417 1.060416
mp-768353 8.674166
mp-766256 9902600.616342
mp-753995 11.931607
mp-1065514 3.169153
mp-1067744 6.116315
mp-1066131 8.661328
mp-755544 17.790950
mp-1194527 3.329385
mp-1207646 7.488190
mp-1105136 4.213948
mp-1207730 3.015401
mp-1216120 10.978764
mp-559289 11.214923
mp-5377 12.706601
mp-1216041 8.061616
mp-772036 5.269784
mp-850669 7.699639
mp-758317 9.763898
mp-752515 11.378491
mp-1100881 12.224593
mp-8945 15.078641
mp-1394400 2106541.138797
mp-1215975 8.019700
mp-769404 1315723.675252
mp-1101793 12.794711
mp-696195 6.626707
mp-1187888 36929022.060681
mp-1207618 8.238094
mp-1207607 55.745781
mp-7792 16.587373
mp-769007 16.355873
mp-768479 25.586946
mp-755165 19.063467
mp-1215918 65.234665
mp-1215941 34.886232
mp-1215924 40400431.398613
mp-4964 8.914892
mp-1207765 19.831025
mp-560652 6.184108
mp-1105409 10.809865
mp-1078392 13.042130
mp-17769 23.267165
mp-3632 15.748002
mp-1207656 7.487912
mp-1191026 9.682406
mp-31266 2.705030
mp-5132 34.126965
mp-1232370 6.460082
mp-9854 12859063.366900
mp-10219 259.130655
mp-3637 42.449310
mp-11520 15.163858
mp-30460 12.772281
mp-5387 21.903746
mp-1095229 307.708970
mp-849583 7.597228
mp-849365 13.229730
